36194
17
30788
30788
0 1 1 7 2814 1617 9 (D 11,64,64) (S 63,11,64) (D 94,11,11)
0 1 2 7 2364 1568 9 (D 11,20,20) (S 19,11,20) (D 63,11,11)
0 1 3 5 2304 1625 7 (D 11,68,68) (S 67,11,68) (D 79,11,11)
0 1 4 7 2187 1508 9 (D 11,40,40) (S 39,11,40) (D 71,11,11)
0 1 5 5 2348 1628 7 (D 11,67,67) (S 66,11,67) (D 89,11,11)
0 1 6 5 2500 1640 7 (D 11,87,87) (S 86,11,87) (D 91,11,11)
0 1 7 5 2242 1631 7 (D 11,17,17) (S 16,11,17) (D 19,11,11)
0 1 8 7 2228 1606 9 (D 11,55,55) (S 54,11,55) (D 58,11,11)
0 1 9 5 2024 1541 7 (D 11,36,36) (S 35,11,36) (D 46,11,11)
0 1 10 5 1844 1253 7 (D 11,44,44) (S 43,11,44) (D 66,11,11)
0 1 11 5 1999 1476 7 (D 11,52,52) (S 51,11,52) (D 86,11,11)
0 1 12 6 2033 1525 8 (D 11,5,5) (S 5,11,5) (D 15,11,11)
0 1 13 4 2050 1606 6 (D 11,35,35) (S 34,11,35) (D 54,11,11)
0 1 14 6 2380 1641 8 (D 11,4,4) (S 4,11,4) (D 42,11,11)
0 1 15 6 2044 1594 8 (D 11,3,3) (S 3,11,3) (D 25,11,11)
0 1 16 2 958 814 4 (D 11,1,1) (S 1,11,1) (D 2,11,11)
0 1 17 6 1875 1492 8 (D 11,12,12) (S 11,11,12) (D 33,11,11)
