3595
12
6726995
6726995
0 1 1 9 535 1811 11 (D 1,7,7) (S 6,1,7) (D 69,1,1)
0 1 2 6 325 1840 8 (D 1,49,49) (S 46,1,49) (D 64,1,1)
0 1 3 7 233 1836 9 (D 1,54,54) (D 64,1,1)
0 1 4 9 445 1817 11 (D 1,6,6) (S 5,1,6) (D 51,1,1)
0 1 5 8 331 1840 10 (D 1,20,20) (S 18,1,20) (D 50,1,1)
0 1 6 7 237 1742 9 (D 1,45,45) (S 42,1,45) (S 69,47,48) (D 62,1,1)
0 1 7 7 338 1828 9 (D 1,35,35) (S 32,1,35) (D 50,1,1)
0 1 8 6 383 1816 8 (D 1,12,12) (S 11,1,12) (D 39,1,1)
0 1 9 5 116 1710 7 (D 1,1,1) (S 14,1,16) (D 3,1,1)
0 1 10 9 324 1765 11 (D 1,9,9) (S 8,1,9) (D 36,1,1)
0 1 11 6 153 1802 8 (D 1,2,2) (S 1,1,2) (S 72,4,11) (S 73,11,5) (S 73,11,5) (D 5,1,1)
0 1 12 3 175 1368 5 (D 1,18,18) (S 16,1,18) (D 22,1,1)
