41
11
870262
870262
0 1 1 6 5 25 8 (D 1,10,10) (S 8,1,10) (D 7,1,1)
0 1 2 4 4 25 6 (D 1,2,2) (S 1,1,2) (S 24,2,5) (D 5,1,1)
0 1 3 8 9 27 10 (D 1,9,9) (S 7,1,9) (S 19,8,11) (D 11,1,1)
0 1 4 3 2 27 5 (D 1,9,9) (S 7,1,9) (D 9,1,1)
0 1 5 5 6 24 7 (D 1,4,4) (S 3,1,4) (S 42,2,6) (D 5,1,1)
0 1 6 6 5 25 8 (D 1,4,4) (S 3,1,4) (S 37,3,5) (D 5,1,1)
0 1 7 4 3 24 6 (D 1,7,7) (S 5,1,7) (S 18,7,9) (D 9,1,1)
0 1 8 3 2 21 5 (D 1,10,10) (S 8,1,10) (D 10,1,1)
0 1 9 4 1 24 6 (D 1,8,8) (S 6,1,8) (D 8,1,1)
0 1 10 3 3 27 5 (D 1,4,4) (S 3,1,4) (S 47,4,8) (D 8,1,1)
0 1 11 2 1 17 4 (D 1,11,11) (S 34,1,11) (D 11,1,1)
