6403
17
14511026
14511026
0 1 1 7 619 1551 9 (D 11,10,10) (S 10,11,10) (D 94,11,11)
0 1 2 7 479 1440 9 (D 11,20,20) (S 19,11,20) (D 64,11,11)
0 1 3 5 367 1639 7 (D 11,2,2) (S 2,11,2) (D 87,11,11)
0 1 4 7 454 1631 9 (D 11,15,15) (S 14,11,15) (D 62,11,11)
0 1 5 5 329 1409 7 (D 11,74,74) (S 73,11,74) (D 79,11,11)
0 1 6 5 501 1632 7 (D 11,92,92) (S 91,11,92) (D 91,11,11)
0 1 7 5 366 1631 7 (D 11,17,17) (S 16,11,17) (D 19,11,11)
0 1 8 7 368 1620 9 (D 11,56,56) (S 55,11,56) (D 49,11,11)
0 1 9 5 261 1593 7 (D 11,44,44) (S 43,11,44) (D 39,11,11)
0 1 10 5 319 1422 7 (D 11,35,35) (S 34,11,35) (D 89,11,11)
0 1 11 5 264 1599 7 (D 11,22,22) (S 21,11,22) (D 86,11,11)
0 1 12 6 382 1567 8 (D 11,5,5) (S 5,11,5) (D 40,11,11)
0 1 13 4 296 1468 6 (D 11,46,46) (S 45,11,46) (D 57,11,11)
0 1 14 6 458 1641 8 (D 11,4,4) (S 4,11,4) (D 42,11,11)
0 1 15 6 321 1594 8 (D 11,3,3) (S 3,11,3) (D 25,11,11)
0 1 16 2 118 702 4 (D 11,33,33) (S 32,11,33) (D 53,11,11)
0 1 17 6 501 1626 8 (D 11,12,12) (S 11,11,12) (D 1,11,11)
