179
10
859179
859179
0 1 1 3 11 26 5 (D 1,6,6) (S 3,1,6) (D 3,1,1)
0 1 2 3 14 25 5 (D 1,23,23) (S 8,1,23) (D 26,1,1)
0 1 3 5 20 26 7 (D 1,13,13) (S 14,13,14) (S 44,14,18) (D 23,1,1)
0 1 4 5 19 26 7 (D 1,8,8) (S 4,1,8) (S 37,8,9) (D 4,1,1)
0 1 5 4 28 25 6 (D 1,19,19) (S 19,1,19) (D 16,1,1)
0 1 6 5 16 24 7 (D 1,5,5) (S 28,5,6) (D 19,1,1)
0 1 7 9 36 27 11 (D 1,19,19) (S 19,1,19) (D 26,1,1)
0 1 8 5 10 27 7 (D 1,12,12) (D 11,1,1)
0 1 9 4 14 25 6 (D 1,27,27) (S 26,1,27) (D 8,1,1)
0 1 10 4 11 27 6 (D 1,17,17) (S 42,1,17) (S 27,15,17) (D 17,1,1)
