51
11
757640
757640
0 1 1 3 7 26 5 (D 1,11,11) (S 9,1,11) (D 3,1,1)
0 1 2 8 11 27 10 (D 1,8,8) (S 7,1,8) (S 42,8,11) (S 23,7,9) (D 7,1,1)
0 1 3 6 6 25 8 (D 1,9,9) (S 8,1,9) (S 12,9,10) (D 10,1,1)
0 1 4 5 2 26 7 (D 1,4,4) (S 3,1,4) (D 6,1,1)
0 1 5 2 5 25 4 (D 1,6,6) (S 5,1,6) (D 5,1,1)
0 1 6 4 3 24 6 (D 1,8,8) (S 7,1,8) (D 7,1,1)
0 1 7 4 6 23 6 (D 1,8,8) (S 7,1,8) (D 11,1,1)
0 1 8 4 4 27 6 (D 1,2,2) (S 1,1,2) (S 36,2,4) (S 32,4,5) (D 5,1,1)
0 1 9 2 3 26 4 (D 1,2,2) (S 1,1,2) (S 31,2,8) (D 8,1,1)
0 1 10 4 2 24 6 (D 1,10,10) (S 21,1,10) (D 10,1,1)
0 1 11 2 2 13 4 (D 1,10,10) (S 21,1,10) (D 10,1,1)
