48
11
870774
870774
0 1 1 3 2 19 5 (D 1,2,2) (S 1,1,2) (S 33,2,6) (D 6,1,1)
0 1 2 4 3 27 6 (D 1,9,9) (S 8,1,9) (D 9,1,1)
0 1 3 5 6 27 7 (D 1,9,9) (S 8,1,9) (D 8,1,1)
0 1 4 8 11 26 10 (D 1,10,10) (S 9,1,10) (S 31,3,5) (D 6,1,1)
0 1 5 3 4 27 5 (D 1,2,2) (S 1,1,2) (D 5,1,1)
0 1 6 4 6 24 6 (D 1,10,10) (S 9,1,10) (D 8,1,1)
0 1 7 2 3 23 4 (D 1,3,3) (S 2,1,3) (D 3,1,1)
0 1 8 5 3 25 7 (D 1,7,7) (S 6,1,7) (D 9,1,1)
0 1 9 7 5 26 9 (D 1,11,11) (S 13,1,11) (D 4,1,1)
0 1 10 4 4 26 6 (D 1,11,11) (S 13,1,11) (D 7,1,1)
0 1 11 2 1 16 4 (D 1,8,8) (S 7,1,8) (D 8,1,1)
