42
11
600362
600362
0 1 1 1 1 24 3 (D 1,2,2) (S 1,1,2) (D 2,1,1)
0 1 2 1 1 25 3 (D 1,4,4) (S 3,1,4) (D 4,1,1)
0 1 3 7 5 24 9 (D 1,10,10) (S 25,1,10) (S 28,10,11) (D 11,1,1)
0 1 4 6 8 27 8 (D 1,4,4) (S 3,1,4) (S 36,4,6) (S 10,3,11) (D 11,1,1)
0 1 5 2 2 16 4 (D 1,6,6) (S 5,1,6) (D 6,1,1)
0 1 6 4 4 27 6 (D 1,3,3) (S 2,1,3) (D 5,1,1)
0 1 7 6 5 23 8 (D 1,9,9) (S 8,1,9) (D 8,1,1)
0 1 8 4 4 26 6 (D 1,7,7) (S 6,1,7) (S 22,3,7) (D 7,1,1)
0 1 9 3 4 27 5 (D 1,8,8) (S 7,1,8) (D 9,1,1)
0 1 10 3 4 22 5 (D 1,11,11) (S 9,1,11) (D 6,1,1)
0 1 11 2 4 25 4 (D 1,8,8) (S 7,1,8) (S 15,8,10) (D 10,1,1)
